run,Comparison.type,Yard.Diff,Neighbor.Distance,Num.Nursery,Mimicry,Constraints,Step
127,equal-or-greater,2,6,1,TRUE,off,17
128,equal-or-greater,2,6,1,TRUE,off,21
129,equal-or-greater,2,6,1,TRUE,off,23
130,equal-or-greater,2,6,1,TRUE,off,27
131,equal-or-greater,2,9,1,TRUE,off,35
132,equal-or-greater,2,9,1,TRUE,off,27
133,equal-or-greater,2,9,1,TRUE,off,23
134,equal-or-greater,2,9,1,TRUE,off,23
135,equal-or-greater,2,9,1,TRUE,off,17
136,equal-or-greater,2,9,1,TRUE,off,18
137,equal-or-greater,2,9,1,TRUE,off,36
138,equal-or-greater,2,9,1,TRUE,off,25
139,equal-or-greater,2,9,1,TRUE,off,36
140,equal-or-greater,2,9,1,TRUE,off,43
141,equal-or-greater,2,12,1,TRUE,off,21
142,equal-or-greater,2,12,1,TRUE,off,34
143,equal-or-greater,2,12,1,TRUE,off,29
144,equal-or-greater,2,12,1,TRUE,off,22
145,equal-or-greater,2,12,1,TRUE,off,39
146,equal-or-greater,2,12,1,TRUE,off,34
147,equal-or-greater,2,12,1,TRUE,off,28
148,equal-or-greater,2,12,1,TRUE,off,25
149,equal-or-greater,2,12,1,TRUE,off,27
150,equal-or-greater,2,12,1,TRUE,off,31
151,equal-or-greater,3,1,1,TRUE,off,25
152,equal-or-greater,3,1,1,TRUE,off,19
153,equal-or-greater,3,1,1,TRUE,off,17
154,equal-or-greater,3,1,1,TRUE,off,17
155,equal-or-greater,3,1,1,TRUE,off,15
156,equal-or-greater,3,1,1,TRUE,off,19
157,equal-or-greater,3,1,1,TRUE,off,18
158,equal-or-greater,3,1,1,TRUE,off,20
159,equal-or-greater,3,1,1,TRUE,off,18
160,equal-or-greater,3,1,1,TRUE,off,15
161,equal-or-greater,3,3,1,TRUE,off,11
162,equal-or-greater,3,3,1,TRUE,off,11
163,equal-or-greater,3,3,1,TRUE,off,10
164,equal-or-greater,3,3,1,TRUE,off,13
165,equal-or-greater,3,3,1,TRUE,off,12
166,equal-or-greater,3,3,1,TRUE,off,13
167,equal-or-greater,3,3,1,TRUE,off,10
168,equal-or-greater,3,3,1,TRUE,off,12
169,equal-or-greater,3,3,1,TRUE,off,12
170,equal-or-greater,3,3,1,TRUE,off,13
171,equal-or-greater,3,6,1,TRUE,off,10
172,equal-or-greater,3,6,1,TRUE,off,10
173,equal-or-greater,3,6,1,TRUE,off,12
174,equal-or-greater,3,6,1,TRUE,off,10
175,equal-or-greater,3,6,1,TRUE,off,12
176,equal-or-greater,3,6,1,TRUE,off,12
177,equal-or-greater,3,6,1,TRUE,off,11
178,equal-or-greater,3,6,1,TRUE,off,10
179,equal-or-greater,3,6,1,TRUE,off,11
180,equal-or-greater,3,6,1,TRUE,off,11
181,equal-or-greater,3,9,1,TRUE,off,15
182,equal-or-greater,3,9,1,TRUE,off,15
183,equal-or-greater,3,9,1,TRUE,off,12
184,equal-or-greater,3,9,1,TRUE,off,18
185,equal-or-greater,3,9,1,TRUE,off,9
186,equal-or-greater,3,9,1,TRUE,off,12
187,equal-or-greater,3,9,1,TRUE,off,14
188,equal-or-greater,3,9,1,TRUE,off,14
189,equal-or-greater,3,9,1,TRUE,off,13
190,equal-or-greater,3,9,1,TRUE,off,25
191,equal-or-greater,3,12,1,TRUE,off,24
192,equal-or-greater,3,12,1,TRUE,off,13
193,equal-or-greater,3,12,1,TRUE,off,11
194,equal-or-greater,3,12,1,TRUE,off,24
195,equal-or-greater,3,12,1,TRUE,off,19
196,equal-or-greater,3,12,1,TRUE,off,16
197,equal-or-greater,3,12,1,TRUE,off,20
198,equal-or-greater,3,12,1,TRUE,off,13
199,equal-or-greater,3,12,1,TRUE,off,13
200,equal-or-greater,3,12,1,TRUE,off,19
201,equal-or-greater,4,1,1,TRUE,off,16
202,equal-or-greater,4,1,1,TRUE,off,15
203,equal-or-greater,4,1,1,TRUE,off,18
204,equal-or-greater,4,1,1,TRUE,off,16
205,equal-or-greater,4,1,1,TRUE,off,16
206,equal-or-greater,4,1,1,TRUE,off,22
207,equal-or-greater,4,1,1,TRUE,off,14
208,equal-or-greater,4,1,1,TRUE,off,18
209,equal-or-greater,4,1,1,TRUE,off,18
210,equal-or-greater,4,1,1,TRUE,off,13
211,equal-or-greater,4,3,1,TRUE,off,7
212,equal-or-greater,4,3,1,TRUE,off,8
213,equal-or-greater,4,3,1,TRUE,off,8
214,equal-or-greater,4,3,1,TRUE,off,10
215,equal-or-greater,4,3,1,TRUE,off,10
216,equal-or-greater,4,3,1,TRUE,off,8
217,equal-or-greater,4,3,1,TRUE,off,12
218,equal-or-greater,4,3,1,TRUE,off,7
219,equal-or-greater,4,3,1,TRUE,off,8
220,equal-or-greater,4,3,1,TRUE,off,8
221,equal-or-greater,4,6,1,TRUE,off,5
222,equal-or-greater,4,6,1,TRUE,off,5
223,equal-or-greater,4,6,1,TRUE,off,6
224,equal-or-greater,4,6,1,TRUE,off,8
225,equal-or-greater,4,6,1,TRUE,off,7
226,equal-or-greater,4,6,1,TRUE,off,5
227,equal-or-greater,4,6,1,TRUE,off,6
228,equal-or-greater,4,6,1,TRUE,off,5
229,equal-or-greater,4,6,1,TRUE,off,6
230,equal-or-greater,4,6,1,TRUE,off,7
231,equal-or-greater,4,9,1,TRUE,off,7
232,equal-or-greater,4,9,1,TRUE,off,9
233,equal-or-greater,4,9,1,TRUE,off,5
234,equal-or-greater,4,9,1,TRUE,off,7
235,equal-or-greater,4,9,1,TRUE,off,10
236,equal-or-greater,4,9,1,TRUE,off,7
237,equal-or-greater,4,9,1,TRUE,off,7
238,equal-or-greater,4,9,1,TRUE,off,5
239,equal-or-greater,4,9,1,TRUE,off,6
240,equal-or-greater,4,9,1,TRUE,off,10
241,equal-or-greater,4,12,1,TRUE,off,13
242,equal-or-greater,4,12,1,TRUE,off,13
243,equal-or-greater,4,12,1,TRUE,off,8
244,equal-or-greater,4,12,1,TRUE,off,8
245,equal-or-greater,4,12,1,TRUE,off,6
246,equal-or-greater,4,12,1,TRUE,off,8
247,equal-or-greater,4,12,1,TRUE,off,7
248,equal-or-greater,4,12,1,TRUE,off,7
249,equal-or-greater,4,12,1,TRUE,off,5
250,equal-or-greater,4,12,1,TRUE,off,8
251,equal,0,1,1,TRUE,off,99
252,equal,0,1,1,TRUE,off,99
253,equal,0,1,1,TRUE,off,99
254,equal,0,1,1,TRUE,off,99
255,equal,0,1,1,TRUE,off,99
256,equal,0,1,1,TRUE,off,99
257,equal,0,1,1,TRUE,off,99
258,equal,0,1,1,TRUE,off,99
259,equal,0,1,1,TRUE,off,99
260,equal,0,1,1,TRUE,off,99
261,equal,0,3,1,TRUE,off,99
262,equal,0,3,1,TRUE,off,99
263,equal,0,3,1,TRUE,off,99
264,equal,0,3,1,TRUE,off,99
265,equal,0,3,1,TRUE,off,87
266,equal,0,3,1,TRUE,off,99
267,equal,0,3,1,TRUE,off,99
268,equal,0,3,1,TRUE,off,99
269,equal,0,3,1,TRUE,off,99
270,equal,0,3,1,TRUE,off,99
271,equal,0,6,1,TRUE,off,99
272,equal,0,6,1,TRUE,off,99
273,equal,0,6,1,TRUE,off,96
274,equal,0,6,1,TRUE,off,99
275,equal,0,6,1,TRUE,off,99
276,equal,0,6,1,TRUE,off,99
277,equal,0,6,1,TRUE,off,99
278,equal,0,6,1,TRUE,off,99
279,equal,0,6,1,TRUE,off,99
280,equal,0,6,1,TRUE,off,99
281,equal,0,9,1,TRUE,off,99
282,equal,0,9,1,TRUE,off,99
