"","Moran.dist.class","Moran.local","p.value","Rownumber","run","Comparison.type","Yard.Diff","Neighbor.Distance","Num.Nursery","Mimicry","Constraints","Step","Run"
"1",2.03250997233316,0.854107011549801,0,1,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"2",4.09753041699947,0.662079252346994,0,2,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"3",6.16255036166579,0.52980377974567,0,3,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"4",8.22757030633211,0.442460551522135,0,4,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"5",10.2925902509984,0.372051015596548,0,5,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"6",12.3576101956647,0.316586436192818,0,6,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"7",14.4226301403311,0.267599166021608,0,7,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"8",16.4876500849974,0.219460036925175,0,8,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"9",18.5526700296637,0.16394047608796,0,9,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"10",20.61768997433,0.105459525533082,0,10,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"11",22.6827099189963,0.0520840937534969,0,11,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"12",24.7477298636626,0.00449843691870559,6.9305408194181e-07,12,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"13",26.812749808329,-0.0362611332816102,1,13,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"14",28.8777697529953,-0.0770597490746835,1,14,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"15",30.9427896976616,-0.104758368183682,1,15,1,"equal-or-greater",0,1,1,TRUE,"off",99,1
"16",2.03250997233316,0.836374346597851,0,1,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"17",4.09753041699947,0.641946856240259,0,2,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"18",6.16255036166579,0.52228248819543,0,3,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"19",8.22757030633211,0.454080711558458,0,4,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"20",10.2925902509984,0.410736569869042,0,5,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"21",12.3576101956647,0.380768923497362,0,6,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"22",14.4226301403311,0.350304136663106,0,7,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"23",16.4876500849974,0.324165854573293,0,8,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"24",18.5526700296637,0.301197433533325,0,9,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"25",20.61768997433,0.280650645792647,0,10,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"26",22.6827099189963,0.25594092328304,0,11,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"27",24.7477298636626,0.223171247931702,0,12,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"28",26.812749808329,0.190866344346887,0,13,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"29",28.8777697529953,0.153444653559718,0,14,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"30",30.9427896976616,0.115428214421334,0,15,2,"equal-or-greater",0,1,1,TRUE,"off",99,2
"31",2.03250997233316,0.800685057770209,0,1,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"32",4.09753041699947,0.520065208233441,0,2,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"33",6.16255036166579,0.301159765464306,0,3,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"34",8.22757030633211,0.165441243582097,0,4,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"35",10.2925902509984,0.095691858425089,0,5,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"36",12.3576101956647,0.073370988583755,0,6,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"37",14.4226301403311,0.0578305379124551,0,7,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"38",16.4876500849974,0.0371930996989928,8.56177102142736e-267,8,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"39",18.5526700296637,0.00949488301236817,2.67166998702948e-19,9,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"40",20.61768997433,-0.0130138589172169,1,10,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"41",22.6827099189963,-0.0270163190774518,1,11,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"42",24.7477298636626,-0.0265955902809687,1,12,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"43",26.812749808329,-0.0140317496370072,1,13,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"44",28.8777697529953,0.00356159564704145,3.16488365588638e-05,14,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"45",30.9427896976616,0.0120732928737651,3.65007897272835e-43,15,3,"equal-or-greater",0,1,1,TRUE,"off",99,3
"46",2.03250997233316,0.865913327213637,0,1,4,"equal-or-greater",0,1,1,TRUE,"off",99,4
"47",4.09753041699947,0.677412281392473,0,2,4,"equal-or-greater",0,1,1,TRUE,"off",99,4
"48",6.16255036166579,0.524204000115897,0,3,4,"equal-or-greater",0,1,1,TRUE,"off",99,4
"49",8.22757030633211,0.408699528615721,0,4,4,"equal-or-greater",0,1,1,TRUE,"off",99,4
"50",10.2925902509984,0.324913411986995,0,5,4,"equal-or-greater",0,1,1,TRUE,"off",99,4
"51",12.3576101956647,0.275139914601686,0,6,4,"equal-or-greater",0,1,1,TRUE,"off",99,4
