"","Moran.global","P.value","run","Comparison.type","Yard.Diff","Neighbor.Distance","Num.Nursery","Mimicry","Constraints","Step","Run"
"62",0.0198174930335742,0,62,"equal-or-greater",1,3,1,TRUE,"off",39,62
"63",0.0150394249290854,0,63,"equal-or-greater",1,3,1,TRUE,"off",39,63
"64",0.0172959574525908,0,64,"equal-or-greater",1,3,1,TRUE,"off",36,64
"65",0.0207368217218596,0,65,"equal-or-greater",1,3,1,TRUE,"off",28,65
"66",0.0188153923783784,0,66,"equal-or-greater",1,3,1,TRUE,"off",30,66
"67",0.0181556051030349,0,67,"equal-or-greater",1,3,1,TRUE,"off",45,67
"68",0.0181334641832967,0,68,"equal-or-greater",1,3,1,TRUE,"off",33,68
"69",0.0179628486963465,0,69,"equal-or-greater",1,3,1,TRUE,"off",28,69
"70",0.0147992834569028,0,70,"equal-or-greater",1,3,1,TRUE,"off",30,70
"71",0.00573393069478818,0,71,"equal-or-greater",1,6,1,TRUE,"off",37,71
"72",0.00919677511323155,0,72,"equal-or-greater",1,6,1,TRUE,"off",66,72
"73",0.00906248090230106,0,73,"equal-or-greater",1,6,1,TRUE,"off",49,73
"74",0.00618709456684614,0,74,"equal-or-greater",1,6,1,TRUE,"off",42,74
"75",0.00797650528665167,0,75,"equal-or-greater",1,6,1,TRUE,"off",53,75
"76",0.0135169610653475,0,76,"equal-or-greater",1,6,1,TRUE,"off",34,76
"77",0.00706141280684041,0,77,"equal-or-greater",1,6,1,TRUE,"off",33,77
"78",0.0125813957913821,0,78,"equal-or-greater",1,6,1,TRUE,"off",29,78
"79",0.0121102075304173,0,79,"equal-or-greater",1,6,1,TRUE,"off",41,79
"80",0.0087190505825921,0,80,"equal-or-greater",1,6,1,TRUE,"off",33,80
"81",0.00574250242787085,0,81,"equal-or-greater",1,9,1,TRUE,"off",53,81
"82",0.00441072288034226,0,82,"equal-or-greater",1,9,1,TRUE,"off",56,82
"83",0.00386629588406035,0,83,"equal-or-greater",1,9,1,TRUE,"off",42,83
"84",0.00700364018541165,0,84,"equal-or-greater",1,9,1,TRUE,"off",38,84
"85",0.00358414824881738,0,85,"equal-or-greater",1,9,1,TRUE,"off",49,85
"86",0.00611342617953328,0,86,"equal-or-greater",1,9,1,TRUE,"off",40,86
"87",0.0103317986260111,0,87,"equal-or-greater",1,9,1,TRUE,"off",40,87
"88",0.0112791191512796,0,88,"equal-or-greater",1,9,1,TRUE,"off",42,88
"89",0.00452001479293661,0,89,"equal-or-greater",1,9,1,TRUE,"off",56,89
"90",0.00853442139272651,0,90,"equal-or-greater",1,9,1,TRUE,"off",56,90
"91",0.00154024859773058,0,91,"equal-or-greater",1,12,1,TRUE,"off",66,91
"92",0.00955714099404377,0,92,"equal-or-greater",1,12,1,TRUE,"off",43,92
"93",0.00466117544082588,0,93,"equal-or-greater",1,12,1,TRUE,"off",35,93
"94",0.0019384452074236,0,94,"equal-or-greater",1,12,1,TRUE,"off",49,94
"95",0.0059694808173895,0,95,"equal-or-greater",1,12,1,TRUE,"off",65,95
"96",0.00134093130063343,5.06261699229071e-14,96,"equal-or-greater",1,12,1,TRUE,"off",55,96
"97",0.00297639046261499,0,97,"equal-or-greater",1,12,1,TRUE,"off",42,97
"98",0.00374405674669953,0,98,"equal-or-greater",1,12,1,TRUE,"off",65,98
"99",0.00752889997916275,0,99,"equal-or-greater",1,12,1,TRUE,"off",61,99
"100",0.00438347061388639,0,100,"equal-or-greater",1,12,1,TRUE,"off",92,100
"101",0.00943198842050678,0,101,"equal-or-greater",2,1,1,TRUE,"off",24,101
"102",0.00794880216553831,0,102,"equal-or-greater",2,1,1,TRUE,"off",23,102
"103",0.0101049908224323,0,103,"equal-or-greater",2,1,1,TRUE,"off",23,103
"104",0.00772806479876435,0,104,"equal-or-greater",2,1,1,TRUE,"off",25,104
"105",0.00873164422013689,0,105,"equal-or-greater",2,1,1,TRUE,"off",18,105
"106",0.00887566405591024,0,106,"equal-or-greater",2,1,1,TRUE,"off",26,106
"107",0.00716345720631438,0,107,"equal-or-greater",2,1,1,TRUE,"off",25,107
"108",0.00817833104060457,0,108,"equal-or-greater",2,1,1,TRUE,"off",23,108
"109",0.00904752442497118,0,109,"equal-or-greater",2,1,1,TRUE,"off",22,109
"110",0.00778431180269919,0,110,"equal-or-greater",2,1,1,TRUE,"off",22,110
"111",0.00586229070385664,0,111,"equal-or-greater",2,3,1,TRUE,"off",16,111
"112",0.00710171510468119,0,112,"equal-or-greater",2,3,1,TRUE,"off",18,112
"113",0.00660614011846175,0,113,"equal-or-greater",2,3,1,TRUE,"off",16,113
"114",0.00667019070880179,0,114,"equal-or-greater",2,3,1,TRUE,"off",21,114
"115",0.00596431738542238,0,115,"equal-or-greater",2,3,1,TRUE,"off",16,115
"116",0.00522478291558416,0,116,"equal-or-greater",2,3,1,TRUE,"off",18,116
"117",0.00591673293301139,0,117,"equal-or-greater",2,3,1,TRUE,"off",19,117
"118",0.00688355093162918,0,118,"equal-or-greater",2,3,1,TRUE,"off",21,118
"119",0.00502508122363928,0,119,"equal-or-greater",2,3,1,TRUE,"off",18,119
"120",0.00712505299885132,0,120,"equal-or-greater",2,3,1,TRUE,"off",19,120
"121",0.00501197222505472,0,121,"equal-or-greater",2,6,1,TRUE,"off",22,121
