"","Global.Morans.I","P.value","run","Nursery","Mimicry","Constraints","step","Run","significance"
"1",-0.000347102349350775,0.192909843513168,1,1,FALSE,"off",0,1,0.581687172906381
"2",-0.000237779111425054,0.465069783129788,2,1,FALSE,"off",0,2,0.581687172906381
"3",-0.000174461048059657,0.689511010663182,3,1,FALSE,"off",0,3,0.581687172906381
"4",-0.000181008405296884,0.664460541394705,4,1,FALSE,"off",0,4,0.581687172906381
"5",-0.000216415097674094,0.536026924700294,5,1,FALSE,"off",0,5,0.581687172906381
"6",-8.9895412687934e-05,0.966041627619918,6,1,FALSE,"off",0,6,0.581687172906381
"7",0.000100150793806815,0.300146693368022,7,1,FALSE,"off",0,7,0.581687172906381
"8",-0.000161669867867167,0.739387423673913,8,1,FALSE,"off",0,8,0.581687172906381
"9",-0.00023188163269579,0.48413382355283,9,1,FALSE,"off",0,9,0.581687172906381
"10",-0.000151670419085644,0.779184057447992,10,1,FALSE,"off",0,10,0.581687172906381
"11",-0.000343839986423126,0.198843173779295,11,1,FALSE,"random",0,11,0.420591140892071
"12",-0.000306246796963092,0.276449339354411,12,1,FALSE,"random",0,12,0.420591140892071
"13",-0.000514632437975792,0.029437756533223,13,1,FALSE,"random",0,13,0.420591140892071
"14",-7.02904493734165e-05,0.884673946866053,14,1,FALSE,"random",0,14,0.420591140892071
"15",-0.000387307270969727,0.130520800441014,15,1,FALSE,"random",0,15,0.420591140892071
"16",-0.000306402715690129,0.276097808099838,16,1,FALSE,"random",0,16,0.420591140892071
"17",-0.000135207857519017,0.845951225296564,17,1,FALSE,"random",0,17,0.420591140892071
"18",-0.000242435223131427,0.450389557764573,18,1,FALSE,"random",0,18,0.420591140892071
"19",-2.47846915810307e-05,0.70178627813816,19,1,FALSE,"random",0,19,0.420591140892071
"20",-0.000255062242012496,0.411761522647577,20,1,FALSE,"random",0,20,0.420591140892071
"21",0.0145731668016698,0,21,1,FALSE,"by-block",0,21,0
"22",0.0146726899791377,0,22,1,FALSE,"by-block",0,22,0
"23",0.0131200808691526,0,23,1,FALSE,"by-block",0,23,0
"24",0.0129941281963204,0,24,1,FALSE,"by-block",0,24,0
"25",0.0146288295202351,0,25,1,FALSE,"by-block",0,25,0
"26",0.014297309658463,0,26,1,FALSE,"by-block",0,26,0
"27",0.0153923175356973,0,27,1,FALSE,"by-block",0,27,0
"28",0.0129459197418157,0,28,1,FALSE,"by-block",0,28,0
"29",0.0159701496248939,0,29,1,FALSE,"by-block",0,29,0
"30",0.0158952194453946,0,30,1,FALSE,"by-block",0,30,0
"31",-0.000225773294315679,0.504275164455418,31,4,FALSE,"off",0,31,0.646604362459337
"32",-8.42068055890611e-05,0.942350555059725,32,4,FALSE,"off",0,32,0.646604362459337
"33",0.00020503889187175,0.113090581380953,33,4,FALSE,"off",0,33,0.646604362459337
"34",-0.000124661951010086,0.889307823816587,34,4,FALSE,"off",0,34,0.646604362459337
"35",-8.66288765595949e-05,0.952435129391784,35,4,FALSE,"off",0,35,0.646604362459337
"36",0.000111040482049852,0.274357015060304,36,4,FALSE,"off",0,36,0.646604362459337
"37",-5.50865250638033e-05,0.822335913273599,37,4,FALSE,"off",0,37,0.646604362459337
"38",-0.000199994409562338,0.594044498657385,38,4,FALSE,"off",0,38,0.646604362459337
"39",-0.000212462253141259,0.549736255847732,39,4,FALSE,"off",0,39,0.646604362459337
"40",-5.55304459214427e-05,0.824110687649888,40,4,FALSE,"off",0,40,0.646604362459337
"41",-0.000270520392439103,0.367284160799622,41,4,FALSE,"random",0,41,0.47875438382541
"42",-0.000287219394147097,0.322725421554961,42,4,FALSE,"random",0,42,0.47875438382541
"43",-0.00027598958502472,0.352290453516176,43,4,FALSE,"random",0,43,0.47875438382541
"44",-0.000231239614683633,0.486275901677535,44,4,FALSE,"random",0,44,0.47875438382541
"45",0.000204845708747802,0.113377378426097,45,4,FALSE,"random",0,45,0.47875438382541
"46",-0.000189705227369011,0.631834758864062,46,4,FALSE,"random",0,46,0.47875438382541
"47",0.000106735809657755,0.284440861448596,47,4,FALSE,"random",0,47,0.47875438382541
"48",-0.000160139143655949,0.745482231647683,48,4,FALSE,"random",0,48,0.47875438382541
"49",-6.58823331582772e-05,0.866514336281866,49,4,FALSE,"random",0,49,0.47875438382541
"50",-2.45065681201202e-06,0.617318334037498,50,4,FALSE,"random",0,50,0.47875438382541
"51",0.0128871197805901,0,51,4,FALSE,"by-block",0,51,0
"52",0.0152862003243648,0,52,4,FALSE,"by-block",0,52,0
"53",0.0146086866808797,0,53,4,FALSE,"by-block",0,53,0
"54",0.0141231530157028,0,54,4,FALSE,"by-block",0,54,0
"55",0.0139633709663274,0,55,4,FALSE,"by-block",0,55,0
"56",0.0117021382620098,0,56,4,FALSE,"by-block",0,56,0
"57",0.0135333102193279,0,57,4,FALSE,"by-block",0,57,0
"58",0.0146084605271766,0,58,4,FALSE,"by-block",0,58,0
"59",0.0124241828931013,0,59,4,FALSE,"by-block",0,59,0
"60",0.0140855356582091,0,60,4,FALSE,"by-block",0,60,0
