"","Moran.dist.class","Moran.local","p.value","Rownumber","run","Num.nursery","Constraints","Mimicry","step","Run"
"1",2.03250997233316,-0.00075902444998575,0.597091836684322,1,1,1,"off",FALSE,0,1
"2",4.09753041699947,-0.000416757027797143,0.567599224802707,2,1,1,"off",FALSE,0,1
"3",6.16255036166579,-0.00112993817642909,0.723619572512403,3,1,1,"off",FALSE,0,1
"4",8.22757030633211,0.00115159406824342,0.184702732373454,4,1,1,"off",FALSE,0,1
"5",10.2925902509984,0.001143678032193,0.178560264808117,5,1,1,"off",FALSE,0,1
"6",12.3576101956647,-0.000620527623413675,0.663253013063658,6,1,1,"off",FALSE,0,1
"7",14.4226301403311,-0.000791999925262472,0.727043278082911,7,1,1,"off",FALSE,0,1
"8",16.4876500849974,0.000327710672718194,0.345330874789389,8,1,1,"off",FALSE,0,1
"9",18.5526700296637,-0.00102199367666062,0.804336141130332,9,1,1,"off",FALSE,0,1
"10",20.61768997433,0.000578035208597494,0.246838821740935,10,1,1,"off",FALSE,0,1
"11",22.6827099189963,-0.00032252906868937,0.589099014083116,11,1,1,"off",FALSE,0,1
"12",24.7477298636626,-0.000789423208829727,0.766036413002733,12,1,1,"off",FALSE,0,1
"13",26.812749808329,-0.00117092333887617,0.876053552186449,13,1,1,"off",FALSE,0,1
"14",28.8777697529953,2.59887729786516e-05,0.446110692249644,14,1,1,"off",FALSE,0,1
"15",30.9427896976616,-0.000303640491116613,0.591614435508577,15,1,1,"off",FALSE,0,1
"16",2.03250997233316,0.00286576038609088,0.135149761941546,1,2,1,"off",FALSE,0,2
"17",4.09753041699947,-0.00252362045042318,0.902498268624096,2,2,1,"off",FALSE,0,2
"18",6.16255036166579,-0.00277455964629876,0.93820662594634,3,2,1,"off",FALSE,0,2
"19",8.22757030633211,0.00246535339386233,0.0327803785628859,4,2,1,"off",FALSE,0,2
"20",10.2925902509984,0.00115493667604432,0.176365326059558,5,2,1,"off",FALSE,0,2
"21",12.3576101956647,0.000862735118267496,0.219203479147408,6,2,1,"off",FALSE,0,2
"22",14.4226301403311,-0.00139261901620962,0.870059513444369,7,2,1,"off",FALSE,0,2
"23",16.4876500849974,-0.00245536070548156,0.986225569924933,8,2,1,"off",FALSE,0,2
"24",18.5526700296637,0.00136146676651128,0.0878347686967661,9,2,1,"off",FALSE,0,2
"25",20.61768997433,-0.000308832824308414,0.584505160211696,10,2,1,"off",FALSE,0,2
"26",22.6827099189963,-0.00122292175376677,0.870485847325892,11,2,1,"off",FALSE,0,2
"27",24.7477298636626,0.000352989199588909,0.317905993599555,12,2,1,"off",FALSE,0,2
"28",26.812749808329,-0.00138910114077871,0.917825494648463,13,2,1,"off",FALSE,0,2
"29",28.8777697529953,-0.000457097088681718,0.652577871532158,14,2,1,"off",FALSE,0,2
"30",30.9427896976616,0.000901729586592029,0.129916269022797,15,2,1,"off",FALSE,0,2
"31",2.03250997233316,-0.00182205212460483,0.739319610336277,1,3,1,"off",FALSE,0,3
"32",4.09753041699947,0.00354343076268017,0.0258536325274055,2,3,1,"off",FALSE,0,3
"33",6.16255036166579,-0.00319806215348858,0.962753535906816,3,3,1,"off",FALSE,0,3
"34",8.22757030633211,0.000752921279104301,0.270501358618041,4,3,1,"off",FALSE,0,3
"35",10.2925902509984,-0.000568374573200853,0.636396443128146,5,3,1,"off",FALSE,0,3
"36",12.3576101956647,0.00150593917940324,0.09789070796725,6,3,1,"off",FALSE,0,3
"37",14.4226301403311,0.00137193429455391,0.100389206454464,7,3,1,"off",FALSE,0,3
"38",16.4876500849974,-0.00312570181506112,0.99767505061419,8,3,1,"off",FALSE,0,3
"39",18.5526700296637,-0.00132703484031221,0.87292905193116,9,3,1,"off",FALSE,0,3
"40",20.61768997433,-0.00173242721289047,0.951024893202687,10,3,1,"off",FALSE,0,3
"41",22.6827099189963,0.000459283397042048,0.288006520317982,11,3,1,"off",FALSE,0,3
"42",24.7477298636626,-0.000945353402702897,0.813175929582526,12,3,1,"off",FALSE,0,3
"43",26.812749808329,-0.00014728861415355,0.521152746175057,13,3,1,"off",FALSE,0,3
"44",28.8777697529953,0.000157195024340501,0.390175736003178,14,3,1,"off",FALSE,0,3
"45",30.9427896976616,-0.000437154237043841,0.648845177708219,15,3,1,"off",FALSE,0,3
"46",2.03250997233316,0.00145725829799046,0.281467949394251,1,4,1,"off",FALSE,0,4
"47",4.09753041699947,0.00087438433295321,0.301692850992559,2,4,1,"off",FALSE,0,4
"48",6.16255036166579,-0.000616336454548933,0.617222293800842,3,4,1,"off",FALSE,0,4
"49",8.22757030633211,-0.00177638479842426,0.886021885649477,4,4,1,"off",FALSE,0,4
"50",10.2925902509984,0.000396766565606651,0.356814424723029,5,4,1,"off",FALSE,0,4
"51",12.3576101956647,-0.000701289299906764,0.686705884089782,6,4,1,"off",FALSE,0,4
"52",14.4226301403311,0.000664411053428895,0.25348599244085,7,4,1,"off",FALSE,0,4
"53",16.4876500849974,0.00187189485623048,0.0327729615833703,8,4,1,"off",FALSE,0,4
"54",18.5526700296637,0.000142701889497365,0.411622738262582,9,4,1,"off",FALSE,0,4
"55",20.61768997433,0.000623253724345492,0.2325966516531,10,4,1,"off",FALSE,0,4
"56",22.6827099189963,-0.000128275752300204,0.512101607863823,11,4,1,"off",FALSE,0,4
"57",24.7477298636626,-0.000683447035942107,0.730608804744739,12,4,1,"off",FALSE,0,4
"58",26.812749808329,-0.000542954996170097,0.684107168158955,13,4,1,"off",FALSE,0,4
"59",28.8777697529953,0.000548930250814147,0.239830538591047,14,4,1,"off",FALSE,0,4
