"","Moran.dist.class","Moran.local","p.value","Rownumber","run","Comparison.type","Yard.diff","Neighbor.dist","Num.nursery","Mimicry","Constraints","step","Run"
"58",26.812749808329,0.232306645685543,0,13,5,"equal",0,3,1,TRUE,"off",99,4
"59",28.8777697529953,0.213096508485217,0,14,5,"equal",0,3,1,TRUE,"off",99,4
"60",30.9427896976616,0.193005213541017,0,15,5,"equal",0,3,1,TRUE,"off",99,4
"61",2.03250997233316,0.917791778253241,0,1,6,"equal",0,3,1,TRUE,"off",87,5
"62",4.09753041699947,0.828480277198136,0,2,6,"equal",0,3,1,TRUE,"off",87,5
"63",6.16255036166579,0.745027180311447,0,3,6,"equal",0,3,1,TRUE,"off",87,5
"64",8.22757030633211,0.657930121049409,0,4,6,"equal",0,3,1,TRUE,"off",87,5
"65",10.2925902509984,0.566146977517315,0,5,6,"equal",0,3,1,TRUE,"off",87,5
"66",12.3576101956647,0.487032810633825,0,6,6,"equal",0,3,1,TRUE,"off",87,5
"67",14.4226301403311,0.413672630806694,0,7,6,"equal",0,3,1,TRUE,"off",87,5
"68",16.4876500849974,0.35223248033622,0,8,6,"equal",0,3,1,TRUE,"off",87,5
"69",18.5526700296637,0.300278293452608,0,9,6,"equal",0,3,1,TRUE,"off",87,5
"70",20.61768997433,0.253603516858085,0,10,6,"equal",0,3,1,TRUE,"off",87,5
"71",22.6827099189963,0.21152550701063,0,11,6,"equal",0,3,1,TRUE,"off",87,5
"72",24.7477298636626,0.174833977585163,0,12,6,"equal",0,3,1,TRUE,"off",87,5
"73",26.812749808329,0.137155168408199,0,13,6,"equal",0,3,1,TRUE,"off",87,5
"74",28.8777697529953,0.108137088854157,0,14,6,"equal",0,3,1,TRUE,"off",87,5
"75",30.9427896976616,0.0786813444045555,0,15,6,"equal",0,3,1,TRUE,"off",87,5
"76",2.03250997233316,0.892608523867331,0,1,7,"equal",0,3,1,TRUE,"off",99,6
"77",4.09753041699947,0.777353464363274,0,2,7,"equal",0,3,1,TRUE,"off",99,6
"78",6.16255036166579,0.67045296648447,0,3,7,"equal",0,3,1,TRUE,"off",99,6
"79",8.22757030633211,0.556874065819237,0,4,7,"equal",0,3,1,TRUE,"off",99,6
"80",10.2925902509984,0.432071931993834,0,5,7,"equal",0,3,1,TRUE,"off",99,6
"81",12.3576101956647,0.314952635764913,0,6,7,"equal",0,3,1,TRUE,"off",99,6
"82",14.4226301403311,0.212286456789238,0,7,7,"equal",0,3,1,TRUE,"off",99,6
"83",16.4876500849974,0.12720190675164,0,8,7,"equal",0,3,1,TRUE,"off",99,6
"84",18.5526700296637,0.0603503761340553,0,9,7,"equal",0,3,1,TRUE,"off",99,6
"85",20.61768997433,0.00724537753608038,5.30527502877088e-14,10,7,"equal",0,3,1,TRUE,"off",99,6
"86",22.6827099189963,-0.0315383051634545,1,11,7,"equal",0,3,1,TRUE,"off",99,6
"87",24.7477298636626,-0.0573478879652619,1,12,7,"equal",0,3,1,TRUE,"off",99,6
"88",26.812749808329,-0.0779467848903941,1,13,7,"equal",0,3,1,TRUE,"off",99,6
"89",28.8777697529953,-0.0913338333594195,1,14,7,"equal",0,3,1,TRUE,"off",99,6
"90",30.9427896976616,-0.0988939598035814,1,15,7,"equal",0,3,1,TRUE,"off",99,6
"91",2.03250997233316,0.925696469145357,0,1,8,"equal",0,3,1,TRUE,"off",99,7
"92",4.09753041699947,0.840624897327177,0,2,8,"equal",0,3,1,TRUE,"off",99,7
"93",6.16255036166579,0.757396674906237,0,3,8,"equal",0,3,1,TRUE,"off",99,7
"94",8.22757030633211,0.671367056933384,0,4,8,"equal",0,3,1,TRUE,"off",99,7
"95",10.2925902509984,0.582733247895359,0,5,8,"equal",0,3,1,TRUE,"off",99,7
"96",12.3576101956647,0.502264949127143,0,6,8,"equal",0,3,1,TRUE,"off",99,7
"97",14.4226301403311,0.424757072779851,0,7,8,"equal",0,3,1,TRUE,"off",99,7
"98",16.4876500849974,0.358196826241796,0,8,8,"equal",0,3,1,TRUE,"off",99,7
"99",18.5526700296637,0.306828791500333,0,9,8,"equal",0,3,1,TRUE,"off",99,7
"100",20.61768997433,0.265932177457422,0,10,8,"equal",0,3,1,TRUE,"off",99,7
"101",22.6827099189963,0.233300935628694,0,11,8,"equal",0,3,1,TRUE,"off",99,7
"102",24.7477298636626,0.208677205947713,0,12,8,"equal",0,3,1,TRUE,"off",99,7
"103",26.812749808329,0.184076245024061,0,13,8,"equal",0,3,1,TRUE,"off",99,7
"104",28.8777697529953,0.162655273283919,0,14,8,"equal",0,3,1,TRUE,"off",99,7
