"","Moran.dist.class","Moran.local","p.value","Rownumber","run","Num.nursery","Mimicry","Constraints","step","Run"
"1",2.03250997233316,-0.00144690088264699,0.692056669012321,1,1,1,FALSE,"off",0,1
"2",2.03250997233316,0.000198887474578645,0.456030629849475,2,1,1,FALSE,"off",0,1
"3",2.03250997233316,0.000564144662068184,0.402726597395007,3,1,1,FALSE,"off",0,1
"4",2.03250997233316,-0.000323173013930195,0.533368598524874,4,1,1,FALSE,"off",0,1
"5",2.03250997233316,-0.000608872454690993,0.575344408621484,5,1,1,FALSE,"off",0,1
"6",2.03250997233316,-0.00382047673299216,0.916899242367599,6,1,1,FALSE,"off",0,1
"7",2.03250997233316,0.00653232233186957,0.00682823028176574,7,1,1,FALSE,"off",0,1
"8",2.03250997233316,-0.000218918538796854,0.5179314314329,8,1,1,FALSE,"off",0,1
"9",2.03250997233316,-0.00119511213040072,0.658374608835059,9,1,1,FALSE,"off",0,1
"10",2.03250997233316,0.000243545110523531,0.449448617592465,10,1,1,FALSE,"off",0,1
"11",2.03250997233316,-0.00239205980197061,0.803212644614985,11,1,1,FALSE,"off",0,1
"12",2.03250997233316,-0.00170438919258495,0.724878819497286,12,1,1,FALSE,"off",0,1
"13",2.03250997233316,-0.00692824209254505,0.994459167677869,13,1,1,FALSE,"off",0,1
"14",2.03250997233316,0.00200010559240258,0.217608781485697,14,1,1,FALSE,"off",0,1
"15",2.03250997233316,-0.00464068929673352,0.95442918089672,15,1,1,FALSE,"off",0,1
"16",4.09753041699947,0.001442892364019,0.205187397896164,1,2,1,FALSE,"off",0,2
"17",4.09753041699947,-9.89271130410562e-05,0.500189254956911,2,2,1,FALSE,"off",0,2
"18",4.09753041699947,-0.00243759811966033,0.894316353715117,3,2,1,FALSE,"off",0,2
"19",4.09753041699947,-0.00257480866426318,0.907097918636278,4,2,1,FALSE,"off",0,2
"20",4.09753041699947,0.000987155519995321,0.281055755950689,5,2,1,FALSE,"off",0,2
"21",4.09753041699947,-0.00201451005864854,0.847030881799771,6,2,1,FALSE,"off",0,2
"22",4.09753041699947,-0.000349006116016222,0.553325390434246,7,2,1,FALSE,"off",0,2
"23",4.09753041699947,0.00333694068494873,0.0332572344522206,8,2,1,FALSE,"off",0,2
"24",4.09753041699947,0.000303794815759681,0.415015553221951,9,2,1,FALSE,"off",0,2
"25",4.09753041699947,0.000890046815144201,0.298809267986585,10,2,1,FALSE,"off",0,2
"26",4.09753041699947,0.0020531600454065,0.125243020510881,11,2,1,FALSE,"off",0,2
"27",4.09753041699947,-0.00360250054091439,0.969405384880658,12,2,1,FALSE,"off",0,2
"28",4.09753041699947,0.0356326428549612,1.64082687886836e-81,13,2,1,FALSE,"off",0,2
"29",4.09753041699947,0.0363338917242481,1.17846343704467e-84,14,2,1,FALSE,"off",0,2
"30",4.09753041699947,0.0324837979313749,3.84516472478744e-68,15,2,1,FALSE,"off",0,2
"31",6.16255036166579,-0.000142148520550752,0.510121832154984,1,3,1,FALSE,"off",0,3
"32",6.16255036166579,-0.000414884717112639,0.572312586347564,2,3,1,FALSE,"off",0,3
"33",6.16255036166579,-0.000968968237745683,0.691816953708608,3,3,1,FALSE,"off",0,3
"34",6.16255036166579,-0.000858306641951512,0.669074377459835,4,3,1,FALSE,"off",0,3
"35",6.16255036166579,0.038324350473947,1.52718721572606e-108,5,3,1,FALSE,"off",0,3
"36",6.16255036166579,0.0366687016889619,1.40448746774157e-99,6,3,1,FALSE,"off",0,3
"37",6.16255036166579,0.0347351978969858,1.31907758466046e-89,7,3,1,FALSE,"off",0,3
"38",6.16255036166579,0.0319673747156803,2.85087283372693e-76,8,3,1,FALSE,"off",0,3
"39",6.16255036166579,0.0365832709294226,3.98506569186532e-99,9,3,1,FALSE,"off",0,3
"40",6.16255036166579,0.0335716073191855,7.22775003342477e-84,10,3,1,FALSE,"off",0,3
"41",6.16255036166579,0.0396589605979821,4.70222452342891e-116,11,3,1,FALSE,"off",0,3
"42",6.16255036166579,0.0319256229163423,4.48678422744229e-76,12,3,1,FALSE,"off",0,3
"43",6.16255036166579,0.0361745567790404,5.58652516914117e-97,13,3,1,FALSE,"off",0,3
"44",6.16255036166579,0.0355986104537265,5.35472699543423e-94,14,3,1,FALSE,"off",0,3
"45",6.16255036166579,0.00126239488982929,0.216898277503134,15,3,1,FALSE,"off",0,3
"46",8.22757030633211,0.0340002380472732,9.48931325864197e-133,1,4,1,FALSE,"off",0,4
"47",8.22757030633211,0.0351977312162704,4.48465903534591e-142,2,4,1,FALSE,"off",0,4
"48",8.22757030633211,0.0375319139435616,3.61402230456158e-161,3,4,1,FALSE,"off",0,4
"49",8.22757030633211,0.0313174416134395,5.0194186455919e-113,4,4,1,FALSE,"off",0,4
"50",8.22757030633211,0.0373421082224377,1.43643401885104e-159,5,4,1,FALSE,"off",0,4
"51",8.22757030633211,0.0397021726573794,5.07182304185277e-180,6,4,1,FALSE,"off",0,4
"52",8.22757030633211,-0.000687494076023708,0.664012799243417,7,4,1,FALSE,"off",0,4
"53",8.22757030633211,0.000148193010233823,0.42979853206119,8,4,1,FALSE,"off",0,4
"54",8.22757030633211,0.00144485427657843,0.133855575996137,9,4,1,FALSE,"off",0,4
"55",8.22757030633211,0.00239671546947351,0.0365565671759885,10,4,1,FALSE,"off",0,4
"56",8.22757030633211,-0.000689335518800837,0.664487886187869,11,4,1,FALSE,"off",0,4
"57",8.22757030633211,0.000167676735452616,0.424307310731358,12,4,1,FALSE,"off",0,4
