"","Mantel.local","Class.Index","P.value","run","Comparison.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraints","Step"
"5",0.0803028219643417,1,0.0099009900990099,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.1",0.0482226688937147,3,0.0198019801980198,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.2",0.0217380627436998,5,0.0297029702970297,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.3",0.00971334308066442,7,0.0396039603960396,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.4",0.00583627870648011,9,0.0495049504950495,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.5",0.00540304802772051,11,0.0594059405940594,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.6",0.00455957081411521,13,0.0693069306930693,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.7",0.00448590236203465,15,0.0792079207920792,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.8",0.00482791589559469,17,0.0891089108910891,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.9",0.00552424943025733,19,0.099009900990099,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.10",0.00684999319965261,21,0.108910891089109,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.11",0.00601528390709942,23,0.118811881188119,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.12",0.00665984971002565,25,0.128712871287129,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.13",0.00687914621427175,27,0.138613861386139,5,"equal-or-greater","0",1,1,TRUE,"off",99
"5.14",0.00711187032432297,29,0.148514851485149,5,"equal-or-greater","0",1,1,TRUE,"off",99
"6",0.0812623298607824,1,0.0099009900990099,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.1",0.0502518917411315,3,0.0198019801980198,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.2",0.0240581716268041,5,0.0297029702970297,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.3",0.0107692092515639,7,0.0396039603960396,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.4",0.00723083034301078,9,0.0495049504950495,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.5",0.00716360183401108,11,0.0594059405940594,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.6",0.00610912642031476,13,0.0693069306930693,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.7",0.00598515063107838,15,0.0792079207920792,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.8",0.00640454085860282,17,0.0891089108910891,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.9",0.00713327562836116,19,0.099009900990099,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.10",0.00772122934172207,21,0.108910891089109,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.11",0.00605854086443206,23,0.118811881188119,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.12",0.0050560008525263,25,0.128712871287129,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.13",0.00394994241768303,27,0.138613861386139,6,"equal-or-greater","0",1,1,TRUE,"off",99
"6.14",0.00366427367347044,29,0.148514851485149,6,"equal-or-greater","0",1,1,TRUE,"off",99
"7",0.0809068725645911,1,0.0099009900990099,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.1",0.0481700197240762,3,0.0198019801980198,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.2",0.0210001830502113,5,0.0297029702970297,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.3",0.00845168232456516,7,0.0396039603960396,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.4",0.00477371135697723,9,0.0495049504950495,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.5",0.00486902729611925,11,0.0594059405940594,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.6",0.00242753390289569,13,0.0693069306930693,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.7",0.00174557452051378,15,0.0792079207920792,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.8",0.00153836652165207,17,0.0891089108910891,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.9",0.00202940101047871,19,0.099009900990099,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.10",0.00296232664722044,21,0.108910891089109,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.11",0.00222966010069835,23,0.118811881188119,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.12",0.00270330262312571,25,0.128712871287129,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.13",0.00264183403840354,27,0.138613861386139,7,"equal-or-greater","0",1,1,TRUE,"off",99
"7.14",0.00244923555954898,29,0.148514851485149,7,"equal-or-greater","0",1,1,TRUE,"off",99
"8",0.0836574459544813,1,0.0099009900990099,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.1",0.0508178440667022,3,0.0198019801980198,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.2",0.0226829656826009,5,0.0297029702970297,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.3",0.00976712986237652,7,0.0396039603960396,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.4",0.00564918718136858,9,0.0495049504950495,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.5",0.00536851405539257,11,0.0594059405940594,8,"equal-or-greater","0",1,1,TRUE,"off",99
"8.6",0.00344996622546722,13,0.0693069306930693,8,"equal-or-greater","0",1,1,TRUE,"off",99
