"","Mantel.local","Class.Index","P.value","run","Happy.type","Yard.diff","Neighbor.distance","Num.nursery","Mimicry","Constraint","Step"
"5.1",0.0349139109974384,3,0.0198019801980198,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.2",0.0342309765074648,5,0.0297029702970297,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.3",0.0285421936963176,7,0.0396039603960396,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.4",0.0244583797818654,9,0.0495049504950495,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.5",0.0192680659463257,11,0.0594059405940594,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.6",0.0144020662394632,13,0.0693069306930693,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.7",0.00959003714266168,15,0.0792079207920792,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.8",0.00626685477333635,17,0.0891089108910891,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.9",0.00397463517754836,19,0.099009900990099,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.10",0.00376317712175137,21,0.108910891089109,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.11",0.00140492050388781,23,0.118811881188119,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.12",0.000463325400699006,25,0.257425742574257,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.13",-0.000148171505852742,27,0.514851485148515,5,"equal-or-greater",0,3,1,TRUE,"off",99
"5.14",-0.000300593029332329,29,0.772277227722772,5,"equal-or-greater",0,3,1,TRUE,"off",99
"6",0.028255145112358,1,0.0099009900990099,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.1",0.0372640683334692,3,0.0198019801980198,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.2",0.035393737271502,5,0.0297029702970297,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.3",0.0280566140292792,7,0.0396039603960396,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.4",0.0220756458426699,9,0.0495049504950495,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.5",0.0157249885274165,11,0.0594059405940594,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.6",0.00960169295335978,13,0.0693069306930693,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.7",0.00476246967721764,15,0.0792079207920792,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.8",0.00180474296399627,17,0.0891089108910891,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.9",-0.00015797161630809,19,0.356435643564356,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.10",0.000245135071667501,21,0.613861386138614,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.11",-0.00118845310943342,23,0.118811881188119,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.12",-0.00158444204481323,25,0.128712871287129,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.13",-0.00180159243674763,27,0.138613861386139,6,"equal-or-greater",0,3,1,TRUE,"off",99
"6.14",-0.00239363607462183,29,0.148514851485149,6,"equal-or-greater",0,3,1,TRUE,"off",99
"7",0.025606604122078,1,0.0099009900990099,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.1",0.0339474739697279,3,0.0198019801980198,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.2",0.0331628471432574,5,0.0297029702970297,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.3",0.0276437061437336,7,0.0396039603960396,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.4",0.023632573053279,9,0.0495049504950495,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.5",0.0191919266403887,11,0.0594059405940594,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.6",0.0153232115135753,13,0.0693069306930693,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.7",0.0117187132513952,15,0.0792079207920792,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.8",0.00956976452417877,17,0.0891089108910891,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.9",0.00807191103166503,19,0.099009900990099,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.10",0.00801708665333322,21,0.108910891089109,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.11",0.00611218424699542,23,0.118811881188119,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.12",0.00564498229272369,25,0.128712871287129,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.13",0.00476466504831741,27,0.138613861386139,7,"equal-or-greater",0,3,1,TRUE,"off",99
"7.14",0.00429721070541836,29,0.148514851485149,7,"equal-or-greater",0,3,1,TRUE,"off",99
"8",0.0265825848037018,1,0.0099009900990099,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.1",0.0354677692523861,3,0.0198019801980198,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.2",0.0348428014219457,5,0.0297029702970297,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.3",0.0292824888785023,7,0.0396039603960396,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.4",0.0252731621792569,9,0.0495049504950495,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.5",0.0207867543055255,11,0.0594059405940594,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.6",0.0169081012084314,13,0.0693069306930693,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.7",0.0131875286655895,15,0.0792079207920792,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.8",0.0110553544589933,17,0.0891089108910891,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.9",0.00941128747171772,19,0.099009900990099,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.10",0.00915585171628076,21,0.108910891089109,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.11",0.00641372676161205,23,0.118811881188119,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.12",0.00558992408057898,25,0.128712871287129,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.13",0.00472366682889789,27,0.138613861386139,8,"equal-or-greater",0,3,1,TRUE,"off",99
"8.14",0.00437417666024108,29,0.148514851485149,8,"equal-or-greater",0,3,1,TRUE,"off",99
"9",0.025165027057768,1,0.0099009900990099,9,"equal-or-greater",0,3,1,TRUE,"off",99
